gene_name	rank	peaktime	Peaktime	periodicity_pvalue
ZNF414	256	50	G1/S	1.76E-06
ANKRD10	359	50	G1/S	4.25E-07
CDCA7L	361	50	G1/S	1.98E-08
DNAH11	362	50	G1/S	1.98E-08
CHAF1B	73	51	G1/S	2.98E-15
POLD3	102	51	G1/S	1.99E-14
RUNX1	278	51	G1/S	2.16E-09
FAM214A	368	51	G1/S	3.45E-07
FEN1	83	52	G1/S	1.24E-15
RFC4	105	52	G1/S	3.16E-14
CLSPN	165	52	G1/S	3.48E-09
UBR7	166	52	G1/S	1.53E-09
DONSON	197	52	G1/S	9.37E-10
PAQR4	217	52	G1/S	7.80E-09
PKMYT1	218	52	G1/S	7.80E-09
SLC25A29	342	52	G1/S	5.38E-07
DSCC1	287	53	G1/S	3.34E-09
PCSK6	345	53	G1/S	0.000233841
RBBP8	347	53	G1/S	2.06E-07
DDX11	137	54	S	7.89E-12
HIST2H4B	206	54	S	1.59E-07
HIST2H4A	207	54	S	1.59E-07
CDKN2AIP	269	54	S	3.13E-07
ATAD2	75	55	S	3.82E-14
HSPB8	116	55	S	1.65E-08
HELLS	221	55	S	1.38E-10
WDR90	283	55	S	7.81E-09
TOPBP1	318	55	S	3.93E-06
USP1	129	56	S	1.54E-11
LIPH	160	56	S	1.28E-12
CENPQ	220	56	S	3.55E-09
EFHC1	279	56	S	6.85E-07
ABCC5	315	56	S	1.79E-08
MLF1IP	330	56	S	2.89E-08
RFC2	338	56	S	8.41E-07
IER5	365	56	S	0.005394458
RHPN1	261	57	S	2.77E-06
RAD54L	339	57	S	8.33E-09
ACTR2	346	57	S	1.32E-07
E2F8	54	58	S	6.49E-14
DHFRL1	198	58	S	4.63E-11
TCEB3	285	59	S	0.015136929
CDH24	327	59	S	4.60E-08
MASTL	351	59	S	3.73E-07
ASF1B	390	59	S	7.03E-08
EZH2	214	60	S	4.07E-09
EXO1	235	60	S	2.31E-08
BRCA1	289	61	S	1.13E-09
SH3GL2	310	61	S	7.64E-08
C5orf42	395	61	S	6.71E-08
HIST1H4B	254	62	S	1.56E-06
HIST1H2AC	360	62	S	0.000322162
ASIP	280	63	S	1.72E-08
RRM2	52	64	S	4.09E-15
HIST1H4C	299	64	S	8.15E-05
ANKRD36C	97	65	G2	9.68E-11
H1F0	131	65	G2	3.28E-06
SREK1	314	65	G2	6.07E-06
INSIG2	208	66	G2	1.07E-07
UBE2T	258	66	G2	6.23E-09
YEATS4	353	66	G2	5.88E-09
CDCA5	94	67	G2	2.40E-14
RAD51AP1	260	67	G2	2.31E-09
RHOBTB3	286	67	G2	3.07E-06
ZWINT	320	67	G2	2.48E-08
FANCI	375	67	G2	2.77E-08
GOLGA8A	191	68	G2	9.63E-11
NFE2L2	337	68	G2	2.57E-07
ESCO2	51	69	G2	1.87E-15
CDKL5	386	70	G2	7.35E-07
VPS25	244	71	G2	5.13E-10
KLF6	71	72	G2	5.28E-11
H2AFX	82	72	G2	4.78E-14
POLQ	281	72	G2	2.20E-08
MSH5	301	72	G2	1.73E-07
ENSP00000372746	100	73	G2	3.61E-13
HRSP12	111	73	G2	1.34E-13
DCTPP1	120	73	G2	2.55E-08
GCLM	293	73	G2	8.11E-08
PCBP1	176	74	G2	8.09E-10
STIL	291	74	G2	2.25E-07
MND1	373	74	G2	2.12E-08
CDK1	17	75	G2	1.15E-15
CDKN2C	58	75	G2	4.95E-15
NEIL3	109	75	G2	6.00E-11
ENSP00000373058	161	75	G2	4.79E-07
TUBB	162	75	G2	4.79E-07
FANCD2	248	75	G2	3.62E-09
SKA3	333	75	G2	1.39E-07
C11orf82	340	75	G2	1.91E-07
PNRC2	377	75	G2	0.003317739
HJURP	6	76	G2	6.18E-19
IRAK1	122	76	G2	2.59E-09
TIMP1	144	76	G2	7.25E-08
CENPL	168	76	G2	3.48E-10
NDC80	227	76	G2	7.46E-07
STK17B	194	77	G2	2.46E-08
STAT1	263	77	G2	2.14E-10
ENSP00000363647	64	78	G2	1.48E-12
CDCA2	108	78	G2	3.60E-11
ARHGAP11A	238	78	G2	9.24E-07
ARHGAP11B	239	78	G2	9.24E-07
CYP4V2	240	78	G2	9.24E-07
TUBB2A	271	78	G2	2.77E-05
CDKN1B	70	79	G2	9.41E-16
CKAP2L	91	79	G2	9.00E-12
TUBB4B	183	79	G2	2.25E-07
COQ6	276	79	G2	7.60E-08
MUC1	366	79	G2	2.75E-08
MEPCE	378	79	G2	2.19E-07
AURKB	101	80	G2	8.70E-11
HMGB2	119	80	G2	9.67E-13
IL6	149	80	G2	0.000147637
MELK	164	80	G2	2.25E-10
WSB1	193	80	G2	5.14E-10
WISP1	216	80	G2	8.72E-10
GAS1	298	80	G2	1.33E-07
UBE2C	8	81	G2	3.84E-17
TOP2A	14	81	G2	3.40E-16
FAM72B	27	81	G2	7.70E-16
FAM72A	28	81	G2	7.70E-16
KIF11	30	81	G2	2.10E-16
IQGAP3	69	81	G2	2.14E-13
RHNO1	77	81	G2	3.65E-15
PSRC1	81	81	G2	9.00E-12
SCYL1	156	81	G2	4.97E-08
LTBP3	157	81	G2	4.97E-08
TUBA4A	169	81	G2	1.09E-08
RGS3	175	81	G2	9.14E-09
TUBA3D	185	81	G2	1.20E-08
CASP3	192	81	G2	6.68E-07
NNMT	205	81	G2	5.83E-08
HP1BP3	209	81	G2	5.38E-10
KIAA1524	268	81	G2	8.77E-07
ESPL1	294	81	G2	7.13E-07
ARL4A	352	81	G2	3.63E-08
MGAT2	363	81	G2	3.51E-09
CCNF	2	82	G2	2.30E-21
CDCA8	5	82	G2	5.38E-20
KIF23	11	82	G2	1.84E-18
NLRP2	32	82	G2	2.36E-15
NCAPH	44	82	G2	2.09E-15
FAM83D	74	82	G2	9.00E-12
FZR1	110	82	G2	1.80E-12
MIS18BP1	132	82	G2	8.91E-11
TUBA1A	167	82	G2	3.57E-09
SUCLG2	224	82	G2	1.40E-07
DNMT3B	243	82	G2	5.10E-08
ZC3H3	274	82	G2	1.45E-08
TUBD1	282	82	G2	5.44E-10
MAD2L1	313	82	G2	2.87E-07
BRD8	53	83	G2	3.62E-15
TTK	99	83	G2	1.14E-10
BIRC3	107	83	G2	8.07E-06
CDC25C	130	83	G2	5.06E-10
STAT5B	265	83	G2	3.04E-09
KLF9	358	83	G2	9.03E-07
CCNA2	18	84	G2	8.93E-18
NUSAP1	26	84	G2	6.95E-18
PIF1	35	84	G2	2.45E-15
ARHGEF39	45	84	G2	8.30E-17
CCDC107	46	84	G2	8.30E-17
SAP30	140	84	G2	5.31E-12
HSPA2	232	84	G2	2.19E-07
TRIP13	257	84	G2	4.08E-09
DCAF7	259	84	G2	7.35E-07
KPNA2	10	85	G2/M	3.45E-17
CKAP2	50	85	G2/M	2.34E-13
MKI67	61	85	G2/M	5.79E-12
SGOL2	86	85	G2/M	9.00E-12
CDCA3	118	85	G2/M	1.64E-09
SHCBP1	123	85	G2/M	1.68E-12
TTC38	126	85	G2/M	1.67E-13
BTNL9	138	85	G2/M	1.68E-11
CKS1B	139	85	G2/M	1.68E-11
SMC4	142	85	G2/M	1.30E-11
CNTROB	150	85	G2/M	3.83E-13
BUB3	155	85	G2/M	2.65E-11
GABPB1	247	85	G2/M	4.59E-09
PPP1R10	250	85	G2/M	4.58E-09
ENSP00000373080	251	85	G2/M	4.58E-09
BORA	56	86	G2/M	5.12E-15
CENPA	76	86	G2/M	9.00E-12
ATL2	88	86	G2/M	1.01E-15
FOXM1	103	86	G2/M	2.21E-13
RCAN1	158	86	G2/M	2.57E-13
BUB1B	33	87	G2/M	1.90E-16
TACC3	34	87	G2/M	3.29E-17
EIF5A2	62	87	G2/M	7.80E-11
HN1	143	87	G2/M	4.35E-12
GAS2L3	179	87	G2/M	1.10E-07
KIF14	182	87	G2/M	6.00E-10
RRP1	241	87	G2/M	2.91E-09
CTNNA1	245	87	G2/M	6.28E-10
RANGAP1	246	87	G2/M	6.28E-10
SPDL1	334	87	G2/M	5.29E-07
HINT3	364	87	G2/M	9.35E-05
SGCD	371	87	G2/M	7.21E-07
SMAD3	388	87	G2/M	1.28E-05
KIF20B	39	88	G2/M	4.58E-15
CIT	66	88	G2/M	2.22E-13
PBK	121	88	G2/M	1.56E-11
BMP2	171	88	G2/M	0.00620342
SRSF3	325	88	G2/M	3.53E-08
ASXL1	372	88	G2/M	1.40E-08
GTSE1	57	89	M	9.99E-14
ANLN	89	89	M	4.20E-11
DNAJB1	189	89	M	5.45E-08
KIF2C	219	89	M	4.45E-11
AKIRIN2	255	89	M	1.24E-09
NDE1	349	89	M	1.02E-07
NUP35	380	89	M	8.17E-08
AURKA	4	90	M	9.90E-19
CENPF	19	90	M	1.14E-17
NUF2	22	90	M	7.95E-18
HMMR	23	90	M	9.07E-16
DEPDC1B	42	90	M	1.74E-15
G2E3	55	90	M	1.62E-15
CDC25B	63	90	M	4.68E-16
ADH4	72	90	M	1.33E-11
CEP55	93	90	M	1.24E-13
DEPDC1	95	90	M	1.56E-10
IDO1	177	90	M	1.06E-10
SPAG5	190	90	M	3.84E-07
LMNA	304	90	M	2.20E-08
AC092811.1	336	90	M	1.89E-06
CENPE	7	91	M	2.14E-18
TPX2	9	91	M	4.61E-18
ARL6IP1	16	91	M	9.37E-17
ZC3HC1	25	91	M	6.77E-16
MCM4	68	91	M	1.68E-14
CKAP5	104	91	M	1.36E-12
PSMG3	133	91	M	1.01E-11
MZT1	145	91	M	1.02E-11
BIRC2	180	91	M	3.37E-06
HMGB3	200	91	M	6.43E-11
RAD51C	223	91	M	3.78E-09
STAG1	303	91	M	9.77E-09
FAM102B	316	91	M	0.00067505
RAN	332	91	M	3.11E-08
IL7R	382	91	M	0.008932563
AHI1	387	91	M	0.000446693
CKS2	12	92	M	2.94E-18
BUB1	15	92	M	2.13E-18
LRRC17	29	92	M	1.27E-16
FAM64A	31	92	M	2.14E-16
SRD5A1	65	92	M	1.42E-10
SMTN	85	92	M	3.06E-13
LPP	124	92	M	1.96E-12
YWHAH	343	92	M	6.42E-09
PLEKHG4B	357	92	M	1.20E-05
HMG20B	376	92	M	0.000188013
ZNF521	381	92	M	1.25E-07
PLK1	1	93	M	3.35E-20
MAPK13	3	93	M	4.66E-20
CCNB1	49	93	M	1.25E-15
GCSAM	59	93	M	1.32E-13
GPSM2	60	93	M	1.32E-13
ERN2	79	93	M	1.63E-12
HSPA1L	84	93	M	1.10E-09
NEK2	92	93	M	9.00E-12
KIF5B	127	93	M	6.55E-11
ECT2	153	93	M	8.04E-08
CDC27	225	93	M	2.63E-10
SEPN1	309	93	M	1.45E-06
FAM216A	312	93	M	2.03E-09
INPP5K	323	93	M	4.58E-08
DLGAP5	20	94	M	8.98E-20
CDC20	24	94	M	5.18E-17
BIRC5	38	94	M	4.87E-19
CCNB2	96	94	M	9.00E-12
LBR	106	94	M	2.54E-12
OLR1	113	94	M	7.17E-06
HBG2	135	94	M	1.12E-11
SLC17A2	136	94	M	1.12E-11
CEP70	252	94	M	2.55E-09
PWP1	272	94	M	1.57E-10
E2F5	317	94	M	1.14E-07
CD97	356	94	M	9.02E-08
VEGFC	80	95	M	9.47E-14
USB1	233	95	M	9.39E-09
ODF2	249	95	M	1.45E-10
SFPQ	297	95	M	8.12E-08
FOPNL	324	95	M	3.85E-08
PRC1	370	95	M	4.51E-06
UBE2S	21	96	M	2.39E-18
SAPCD2	47	96	M	7.04E-16
RAD21	78	96	M	2.42E-14
C15orf23	141	96	M	8.80E-09
PLAG1	146	96	M	1.33E-12
KBTBD2	147	96	M	1.33E-12
ANP32E	288	96	M	6.03E-09
PCF11	112	97	M	1.21E-09
BTBD3	195	97	M	8.32E-08
XPO4	203	97	M	6.65E-09
TROAP	90	98	M	5.83E-13
VANGL1	181	98	M	2.03E-10
PRR11	199	98	M	1.20E-08
ZPBP	296	98	M	4.31E-09
GAS6	186	99	M	1.56E-09
LRIF1	204	99	M	2.10E-09
